,title,year,runtime[min],genres,averagerating,numvotes,domestic_gross,foreign_gross,total_gross,genre0,genre1,genre2
91,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",5.5,77577,142600000.0,421100000.0,563700000.0,Adventure,Animation,Comedy
92,Cars 2,2011,106.0,"Adventure,Animation,Comedy",6.2,138914,191500000.0,370700000.0,562200000.0,Adventure,Animation,Comedy
93,Puss In Boots,2011,90.0,"Action,Adventure,Animation",6.6,133355,149300000.0,405700000.0,555000000.0,Action,Adventure,Animation
94,Ted,2012,106.0,"Comedy,Fantasy",6.9,538367,218800000.0,330600000.0,549400000.0,Comedy,Fantasy,
95,American Sniper,2014,133.0,"Action,Biography,Drama",7.3,401915,350100000.0,197300000.0,547400000.0,Action,Biography,Drama
96,Sherlock Holmes: A Game Of Shadows,2011,129.0,"Action,Adventure,Crime",7.5,394189,186800000.0,358600000.0,545400000.0,Action,Adventure,Crime
97,Detective Chinatown 2,2018,121.0,"Action,Comedy,Mystery",6.1,1250,2000000.0,542100000.0,544100000.0,Action,Comedy,Mystery
98,X-Men: Apocalypse,2016,144.0,"Action,Adventure,Sci-Fi",7.0,356556,155400000.0,388500000.0,543900000.0,Action,Adventure,Sci-Fi
99,Despicable Me,2010,95.0,"Animation,Comedy,Family",7.7,464511,251500000.0,291600000.0,543100000.0,Animation,Comedy,Family
100,Brave,2012,93.0,"Adventure,Animation,Comedy",7.1,338728,237300000.0,303200000.0,540500000.0,Adventure,Animation,Comedy
101,World War Z,2013,116.0,"Action,Adventure,Horror",7.0,553751,202400000.0,337600000.0,540000000.0,Action,Adventure,Horror
102,The Revenant,2015,156.0,"Action,Adventure,Biography",8.0,621193,183600000.0,349300000.0,532900000.0,Action,Adventure,Biography
103,The Meg,2018,113.0,"Action,Horror,Sci-Fi",5.7,114042,145400000.0,384800000.0,530200000.0,Action,Horror,Sci-Fi
104,Ralph Breaks The Internet,2018,112.0,"Adventure,Animation,Comedy",7.1,85694,201100000.0,328100000.0,529200000.0,Adventure,Animation,Comedy
105,Hotel Transylvania 3: Summer Vacation,2018,97.0,"Adventure,Animation,Comedy",6.3,42299,167500000.0,361100000.0,528600000.0,Adventure,Animation,Comedy
106,The Boss Baby,2017,97.0,"Adventure,Animation,Comedy",6.3,93730,175000000.0,353000000.0,528000000.0,Adventure,Animation,Comedy
107,Dunkirk,2017,106.0,"Action,Drama,History",7.9,466580,188000000.0,337200000.0,525200000.0,Action,Drama,History
108,Kung Fu Panda 3,2016,95.0,"Action,Adventure,Animation",7.1,116166,143500000.0,377600000.0,521100000.0,Action,Adventure,Animation
109,Ant-Man,2015,117.0,"Action,Adventure,Comedy",7.3,501213,180200000.0,339100000.0,519300000.0,Action,Adventure,Comedy
110,Rio 2,2014,101.0,"Adventure,Animation,Comedy",6.3,72209,131500000.0,368600000.0,500100000.0,Adventure,Animation,Comedy
111,How To Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299,217600000.0,277300000.0,494900000.0,Action,Adventure,Animation
112,Oz The Great And Powerful,2013,130.0,"Adventure,Family,Fantasy",6.3,192045,234900000.0,258399999.0,493299999.0,Adventure,Family,Fantasy
113,War For The Planet Of The Apes,2017,140.0,"Action,Adventure,Drama",7.5,201943,146900000.0,343800000.0,490700000.0,Action,Adventure,Drama
114,Rio,2011,96.0,"Adventure,Animation,Comedy",6.9,191621,143600000.0,341000000.0,484600000.0,Adventure,Animation,Comedy
115,Rise Of The Planet Of The Apes,2011,105.0,"Action,Drama,Sci-Fi",7.6,473020,176800000.0,305000000.0,481800000.0,Action,Drama,Sci-Fi
